name,alternativename,primaryvalue,subcategory,category,type,highlight,metric_001,searchterm,notes,notesLong,sourceNames,link,firstsource,secondsource,thirdsource,ID
fish oil / omega 3,,1,low sperm count,reproductive,compound,,"15,200,000",fish oil omega 3 diabetes,A small study of 211 men it was found that omega 3 supplementation significantly increased sperm count. ,,Cochrane,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/203/CN-00780203/frame.html,,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/203/CN-00780203/frame.html,74
fish oil / omega 3,,1,diabetes,diabetes,compound,,"15,200,000",fish oil omega 3 diabetes,Probably no beneficial effect for those with type 2 diabetes. ,,Cochrane,http://www.cochrane.org/CD003205/ENDOC_omega-3-polyunsaturated-fatty-acids-pufa-for-type-2-diabetes-mellitus,http://www.cochrane.org/CD003205/ENDOC_omega-3-polyunsaturated-fatty-acids-pufa-for-type-2-diabetes-mellitus,,,75
fish oil / omega 3,,0,prostate cancer,cancer,compound,,"1,610,000",fish oil omega 3 prostate cancer,HAMRFUL? Recent studies have linked fish oil intake with increased prostate cancer risk.,,Journal of the National Cancer Institutue.,http://jnci.oxfordjournals.org/content/early/2013/07/09/jnci.djt174.abstract,,,http://jnci.oxfordjournals.org/content/early/2013/07/09/jnci.djt174.abstract,76
fish oil / omega 3,,2,psychosis,mental health,compound,,"440,000",omega 3 fish oil psychosis,"In one study, supplementation delayed the onset of psychosis in those on track to develop certain mental health conditions. ",,Nature Communications,http://www.nature.com/ncomms/2015/150811/ncomms8934/full/ncomms8934.html,,,http://www.nature.com/ncomms/2015/150811/ncomms8934/full/ncomms8934.html,77
fish oil / omega 3,,2,depression,mental health,compound,,"6,800,000",fish oil omega 3 depression,Low quality evidence. ,,Cochrane,http://www.cochrane.org/CD004692/DEPRESSN_omega-3-fatty-acids-depression-adults,http://www.cochrane.org/CD004692/DEPRESSN_omega-3-fatty-acids-depression-adults,,,78
fish oil / omega 3 (in pregnancy),,5,preterm birth,reproductive,compound,,"212,000,000",fish oil omega 3 preterm birth,A meta-analysis concluded that preterm birth & early preterm birth were reduced in women receiving omega-3. ,,Cochrane,https://www.cochrane.org/CD003402/PREG_omega-3-fatty-acid-addition-during-pregnancy,https://www.cochrane.org/CD003402/PREG_omega-3-fatty-acid-addition-during-pregnancy,,,79
flax seeds,,1,breast cancer,"cancer, women",plant / herb,,"1,320,000",flax seeds breast cancer,Population studies indicate a slight possibility flaxeed could reduce breast cancer tumour growth. No controlled trials have been carried out.,,Cancer Causes Control,http://link.springer.com/article/10.1007/s10552-013-0155-7#page-2,,,http://link.springer.com/article/10.1007/s10552-013-0155-7#page-2,80
folic acid,,5,birth defects,children,vitamin,,"1,780,000",folic acid birth defects,"Folic acid helps to prevent birth defects, but timing of supplementation is important. ",,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007950.pub2/full,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007950.pub2/full,,,81
folic acid,,0,cancer,cancer,vitamin,,"19,000,000",folic acid cancer,POTENTIALLY HARMFUL. When combined with vitamin B12 can be associated with increased cancer risk.,,Cochrane,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7527439/,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7527439/,http://onlinelibrary.wiley.com/o/cochrane/clsysrev/articles/CD007950/frame.html,82
GABA,,3,"stress, anxiety",mental health,compound,,"3,880,000",gaba stress anxiety,Some suggestive evidence for effect on anxiety & stress.,,Frontiers in Neuroscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7527439/,https://www.ncbi.nlm.nih.gov/pubmed/29168225,https://www.ncbi.nlm.nih.gov/pubmed/29168225,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3985106/,83
garlic,,1,blood pressure,cardio,plant / herb,,"24,700,000",garlic blood pressure,"Garlic might reduce blood pressure, but further research is required.",,Cochrane,http://www.cochrane.org/CD007653/HTN_garlic-for-hypertension,http://www.cochrane.org/CD007653/HTN_garlic-for-hypertension,,,84
garlic,aged garlic extract,2,cancer treatment,cancer,vegetable,,"19,300,000",garlic cancer treatment,"Due to anticancer properties of aged garlic, its consumption along with healthy diet may have beneficial effects on cancer. More clinical trials necessary.",,International Journal of Preventative Medicine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6212616/,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6212616/,,85
garlic ,,3,cancer prevention,cancer,plant / herb,,"8,080,000",garlic cancer prevention,"Garlic might prevent certain cancers, but there is a lack of clinical trial evidence. The WHO recommends consuming at least one clove a day for general health benefits. ",,National Cancer Institute,http://www.cancer.gov/cancertopics/factsheet/Prevention/garlic-and-cancer-prevention,,http://www.cancer.gov/cancertopics/factsheet/Prevention/garlic-and-cancer-prevention,,86
garlic ,,1,colds,infections,plant / herb,,"3,370,000",garlic colds,Insufficient evidnce for effects on the common cold.,,Cochrane: Garlic for the common cold,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006206.pub4/full?highlightAbstract=withdrawn%7Cgarlic%7Ccold,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006206.pub4/full?highlightAbstract=withdrawn%7Cgarlic%7Ccold,,,87
ginger,,4,nausea and vomiting,digestion,plant / herb,,"10,100,000",ginger nausea,Ginger prevents nausea and vomitting for some people in certain circumstances.,,Annals of Oncology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3995184/,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3995184/,https://academic.oup.com/annonc/article/28/10/2547/3896339,88
gingko biloba,,1,dementia,mental health,plant / herb,,"428,000",ginkgo biloba dementia,Insufficient clinical trial evidence for the use of ginkgo bilboa as a treatment for dementia.,,University of Oxford Medical Sciences Division,http://www.ncbi.nlm.nih.gov/pubmed/20040554,,,http://www.ncbi.nlm.nih.gov/pubmed/20040554,89
ginseng,,1,cognitive performance,mental health,plant / herb,,"797,000",ginseng cognitive function,"No convincing evidence for ginseng enhancing cognition in healthy people, and only low quality evidence that it helps dementia patients. ",,Cochrane,http://www.cochrane.org/CD007769/DEMENTIA_no-convincing-evidence-of-a-cognitive-enhancing-effect-of-panax-ginseng.,http://www.cochrane.org/CD007769/DEMENTIA_no-convincing-evidence-of-a-cognitive-enhancing-effect-of-panax-ginseng.,,,90
glucosamine,,3,"arthritis, joint pain",musculoskeletal,compound,,"4,830,000",glucosamine arthritis,"Studies using a specific brand of glucosamine (Rotta) found that patients' pain decreased. However, studies using other brands found no difference between glucosamine and placebo. ",,Cochrane,http://www.cochrane.org/CD002946/MUSKEL_glucosamine-for-osteoarthritis,http://www.cochrane.org/CD002946/MUSKEL_glucosamine-for-osteoarthritis,,,91
glutamine,l-glutamine,1,gastrointestinal disease in infants,"digestion, children",compound,,"1,850,000",glutamine gastrointestinal disease,Insufficient evidence to determine whether glutamine supplements are beneficial or harmful.,,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005947.pub4/full?highlightAbstract=disease%7Cinfants%7Cglutamin%7Cgastrointestin%7Cyoung%7Cfor%7Csupplementation%7Cwithdrawn%7Cdiseas%7Cglutamine%7Cinfant%7Cgastrointestinal%7Cwith%7Csever%7Cfour%7Csupplement%7Csevere,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005947.pub4/full?highlightAbstract=disease%7Cinfants%7Cglutamin%7Cgastrointestin%7Cyoung%7Cfor%7Csupplementation%7Cwithdrawn%7Cdiseas%7Cglutamine%7Cinfant%7Cgastrointestinal%7Cwith%7Csever%7Cfour%7Csupplement%7Csevere,,,92
glutamine,,1,mortality in preterm infants,general health,compound,,"248,000",glutamine preterm,No evidence. ,,Cochrane,http://www.cochrane.org/CD001457/NEONATAL_glutamine-supplementation-prevent-morbidity-and-mortality-preterm-infants,http://www.cochrane.org/CD001457/NEONATAL_glutamine-supplementation-prevent-morbidity-and-mortality-preterm-infants,,,93
goji berry,wolfberry,1,eye health,eye & skin,plant / herb,,"1,880,000",goji berry eye health,Supplementation for 90 days appeared to show some improvements in eye-health for seniors. But more research is needed. ,,Optometry and Vision Science,http://journals.lww.com/optvissci/Abstract/2011/02000/Goji_Berry_Effects_on_Macular_Characteristics_and.12.aspx,,,http://journals.lww.com/optvissci/Abstract/2011/02000/Goji_Berry_Effects_on_Macular_Characteristics_and.12.aspx,94
grape seed extract,,1,"wound healing, swelling",pain,plant / herb,,"735,000",grape seed extract wound healing,Some preliminary evidence  ,,Examine.com,https://examine.com/supplements/grape-seed-extract/,,,http://www.ccsenet.org/journal/index.php/gjhs/article/view/40015,95
green tea,,3,cancer prevention,cancer,plant / herb,,"25,800,000",green tea cancer prevention,"The evidence is conflicting. However, drinking 3-5 cups a day might have general health benefits. ",,Cochrane,http://www.cochrane.org/reviews/en/ab005004.html,,,http://www.cochrane.org/reviews/en/ab005004.html,96
green tea,,2,cholesterol,cardio,plant / herb,,"50,000,000",green tea cholesterol,"Might help to reduce total cholesterol levels, but trials were small and exposed to bias. ",,Cochrane,http://www.cochrane.org/CD009934/VASC_green-and-black-tea-to-prevent-cardiovascular-disease,http://www.cochrane.org/CD009934/VASC_green-and-black-tea-to-prevent-cardiovascular-disease,,,97
hawthorn,crataegus spp.,3,"blood pressure, cardiovascular disease",cardio,fruit,,"18,400,000",hawthorn heart,"Mixed results, with some studies showing no effect and others suggesting positive benefits. Larger, longer-term trials are needed.","Mixed results, with some studies showing no effect and others suggesting positive benefits. Larger, longer-term randomized clinical trials are needed.",Cochrane; BMC Complementary and Alternative Medicine; Phytotherapy Research,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005312.pub2/abstract,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005312.pub2/abstract,,"https://bmccomplementalternmed.biomedcentral.com/articles/10.1186/1472-6882-12-26
https://onlinelibrary.wiley.com/doi/abs/10.1002/ptr.947
https://onlinelibrary.wiley.com/doi/abs/10.1002/ptr.6094",98
hawthorn ,crataegus spp.,5,chronic heart failure,cardio,fruit,,"1,070,000",hawthorn heart failure,Hawthorn improves heart function in those with chronic heart failure.,"Randomized, controlled trials in patients with heart failure have demonstrated that hawthorn increases functional capacity, alleviates disabling symptoms, and improves health-related quality of life. It has a very favourable safety profile both as monotherapy and add-on therapy.",American Journal of Cardiovascular Drugs,https://link.springer.com/article/10.1007/s40256-017-0249-9,,https://link.springer.com/article/10.1007/s40256-017-0249-9,,99
horsetail ,"Equisetum arvense, shavegrass, common horsetail, field horsetail, tsukushi",2,osteoporosis,musculoskeletal,vegetable,,"98,600",horsetail osteoporosis,"A small, old study showed horsetail improved bone density in menopausal women.","Contains silicon, a mineral needed for bone health. An old (1999) study of menopausal women treated with titrated dry horsetail extract for 40 or 80 days showed improved bone density above placebo. Improvements were enhanced when the women took horsetail in combination with calcium.",,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/095/CN-00415095/frame.html,,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/095/CN-00415095/frame.html,100
horse chestnut seed extract,,4,CVI,cardio,plant / herb,OTW,"104,000",horse chestnut seed extract chronic venous insufficiency,"Horse chestnut seed extract is effective in treating chronic venous insufficiency. However, further research is needed.",,Cochrane,http://www.cochrane.org/CD003230/PVD_horse-chestnut-seed-extract-for-long-term-or-chronic-venous-insufficiency,http://www.cochrane.org/CD003230/PVD_horse-chestnut-seed-extract-for-long-term-or-chronic-venous-insufficiency,,,101
hyaluronic acid,,2,arthritis (only when injected),musculoskeletal,compound,,"1,840,000",hyaluronic acid arthritis,"Injected hyaluronic acid might have a small effect in the treatment of osteoarthritis. However, the trials are biased and the results questionable. ",,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/14679274,,http://www.ncbi.nlm.nih.gov/pubmed/14679274,,102
iron,,4,child development (when not anaemic),"children, mental health, general health",mineral,,"185,000,000",iron child development -anaemia,"Iron supplementation in infants might benefit their psychomotor development, but not their mental or behavioural development.",,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20410098,,,http://www.ncbi.nlm.nih.gov/pubmed/20410098,103
iron + folic acid,,4,maternal and infant health,reproductive,compound,,"3,320,000",iron folic acid maternal infant,Reduces iron deficiency anaemia for pregnant women. The impact on babies is less clear. ,,Cochrane,http://www.cochrane.org/CD004736/PREG_effects-and-safety-preventive-oral-iron-or-iron-folic-acid-supplementation-women-during-pregnancy,http://www.cochrane.org/CD004736/PREG_effects-and-safety-preventive-oral-iron-or-iron-folic-acid-supplementation-women-during-pregnancy,,,104
kava,,2,anxiety,mental health,plant / herb,,"964,000",kava anxiety,"Might have a small but significant effect on anxiety, but more information is required about the safety of long-term use. ",,Cochrane,http://www.cochrane.org/CD003383/DEPRESSN_kava-extract-for-treating-anxiety,http://www.cochrane.org/CD003383/DEPRESSN_kava-extract-for-treating-anxiety,,,105
krill oil,,1,PMS,women,other,,"271,000",krill oil pms,Krill oil significantly reduced both emotional and physical PMS symptoms in one study.,,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/12777162,,,http://www.ncbi.nlm.nih.gov/pubmed/12777162,106
L-arginine,,1,exercise performance,general health,compound,,"19,600,000",L arginine performance,"One study found that L-arginine had a significant beneficial impact on exercise performance. However, the trial was tiny. ",,Journal of Applied Psysiology,http://jap.physiology.org/cgi/content/abstract/japplphysiol.00503.2010v1,,,http://jap.physiology.org/cgi/content/abstract/japplphysiol.00503.2010v1,107
L-carnitine,,3,diabetes,diabetes,compound,,"2,900,000",l carnitine diabetes,May alleviate pain in patients with diabetic nerve issues (neuropathy). ,,Diabetes Care,http://care.diabetesjournals.org/content/28/1/89.short,,http://care.diabetesjournals.org/content/28/1/89.short,,108
L-lysine,,1,herpes,"sexual health, infections",compound,,"907,000",L lysine herpes,No evidence that lysine has a preventative effect on cold sores.  ,,Cochrane,http://www.cochrane.org/CD010095/SKIN_measures-preventing-cold-sores,http://www.cochrane.org/CD010095/SKIN_measures-preventing-cold-sores,,,109
lavender,,2,"depression, anxiety",mental health,plant / herb,,"31,900,000",lavender depression,Suggestive evidence for reduced anxiety. No effect on depression.,,Examine.com,https://examine.com/supplements/lavender/,,http://europepmc.org/abstract/med/21438645,,110
lavender,,1,"sleep, relaxation, anxiety",mental health,plant / herb,,"11,100,000",lavender relaxation sleep,"One small study found inhaling lavender before bed relieves sleepiness on waking in healthy adults, but the trial was tiny. ",,Perceptual and Motor Skills,http://www.amsciepub.com/doi/abs/10.2466/13.15.PMS.114.1.111-122,,,http://www.amsciepub.com/doi/abs/10.2466/13.15.PMS.114.1.111-122,111
leucine,,1,protein synthesis,general health,compound,,"10,300,000",leucine protein synthesis,"One study found drinking leucine solution while exercising speeds up recovery, but the trial was tiny. ",,Pasiakos et al. 2011,http://www.ncbi.nlm.nih.gov/pubmed/21775557,,,http://www.ncbi.nlm.nih.gov/pubmed/21775557,112
lingzhi + san miao san,,2,arthritis,musculoskeletal,plant / herb,,"17,800",lingzhi san miao san arthritis,"This combination of Chinese herbs may reduce pain, but does not provide any other significant benefits (e.g. antiinflammatory).",,American Journal of Clinical Nutrition,http://www.ncbi.nlm.nih.gov/pubmed/17907228,,,http://www.ncbi.nlm.nih.gov/pubmed/17907228,113
lutein ,,1,age-related macular degeneration (AMD),eye & skin,compound,,"5,390,000",lutein eye health,Taking lutein alone (or combined with zeaxanthin) may have little or no effect on progression to late AMD and vision loss (low-certainty evidence).,,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD000254.pub4/abstract,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD000254.pub4/abstract,,,114
lycopene,,2,prostate cancer,"cancer, men",compound,,"720,000",lycopene prostate cancer,Insufficient evidence to support or refute the use of lycopene in preventing prostate cancer. ,,Cochrane,http://www.cochrane.org/CD008007/PROSTATE_lycopene-for-the-prevention-of-prostate-cancer,http://www.cochrane.org/CD008007/PROSTATE_lycopene-for-the-prevention-of-prostate-cancer,,,115
magnesium,,3,blood pressure,cardio,mineral,,"49,300,000",magnesium blood pressure,Low levels of magnesium in the diet are linked to high blood pressure and cholesterol. Magnesium treatment might be effective as a preventative. ,,International Journal of Cardiology,http://www.sciencedirect.com/science/article/pii/S016752731501270X,,,http://www.sciencedirect.com/science/article/pii/S016752731501270X,116
magnesium + vitamin B6,,3,child ADHD,"mental health, children",vitamin,,"1,240,000",magnesium vitamin B6 child ADHD,Children with ADHD tend to have low magnesium and vitamin B6 levels. It's unclear whether supplementation reduces the symptoms of ADHD.,,Magnes Restauracja,https://www.ncbi.nlm.nih.gov/pubmed/22928358,,https://www.ncbi.nlm.nih.gov/pubmed/22928358,http://www.ncbi.nlm.nih.gov/pubmed/16846100,117
melatonin,,2,sleep disturbances ,mental health,compound,,"16,900,000",melatonin sleep,"Can help to regulate the body-clock and improve sleep. However, it does not affect all groups of people in the same way, and the evidence is low quality. ",,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009776.pub2/full?highlightAbstract=sleep%7Cwithdrawn%7Cmelatonin,,,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009776.pub2/full?highlightAbstract=sleep%7Cwithdrawn%7Cmelatonin,118
milk thistle,,2,"hepatitis, diabetes","general health, infections",plant / herb,,"2,040,000",milk thistle liver disease,"Might be beneficial in treating hepatitis and other liver diseases, and protecting the liver from the impact of diabetes. However, the trials were low quality. ",,Cochrane,http://www.cochrane.org/CD003620/LIVER_no-evidence-supporting-or-refuting-milk-thistle-for-alcoholic-andor-hepatitis-b-or-c-virus-liver-diseases,http://www.cochrane.org/CD003620/LIVER_no-evidence-supporting-or-refuting-milk-thistle-for-alcoholic-andor-hepatitis-b-or-c-virus-liver-diseases,,,119
mistletoe,,3,breast & neck cancers,cancer,plant / herb,OTW,"1,080,000",mistletoe supplement,Some preliminary evidence for improving quality of life in breast cancer patients. Evidence for other cancers is weak. More studies needed.,,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003297.pub2/full,,,,
MSM,,2,arthritis ,musculoskeletal,compound,,"2,160,000",MSM arthritis,"Associated with slight reduction in pain and improvement in function, but the results may not be clinically significant.  ",,BMC Complementary and Alternative Medicine,http://www.biomedcentral.com/1472-6882/11/50/,,,http://www.biomedcentral.com/1472-6882/11/50/,120
myo-inositol ,in pregnancy,4,gestational diabetes,diabetes,compound,,"52,600",myo-inositol gestational diabetes,Potential benefit for reducing the incidence of gestational diabetes.,,Cochrane,http://www.cochrane.org/CD011507/PREG_taking-myo-inositol-dietary-supplement-during-pregnancy-prevent-development-gestational-diabetes,http://www.cochrane.org/CD011507/PREG_taking-myo-inositol-dietary-supplement-during-pregnancy-prevent-development-gestational-diabetes,,,121
N-acetyl cysteine (NAC),,1,"OCD, addiction",mental health,other,,"291,000",NAC OCD,Problems with glutamate function in the brain are thought to affect addiction and compulsive behaviour. NAC might improve glutamate function.,,Clinical Psychopharmacology and Neuroscience,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4423164/,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4423164/,,122
nettle,,1,prostate-related urinary problems,"urinary, men",plant / herb,,"410,000",nettles prostate,Might be effective in treating urinary issues in men by reducing inflammation. But we could find no recent studies.,,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16635963,,,http://www.ncbi.nlm.nih.gov/pubmed/16635963,123
niacin (vitamin B3),,0,heart disease,cardio,vitamin,,"3,620,000",vitamin B3 heart disease,"POTENTIALLY HARMFUL. Has long been thought an effective treatment for heart disease, but recent findings show that it does not help, and can have severe adverse effects. ",,The New England Journal of Medicine.,http://www.nejm.org/doi/full/10.1056/NEJMoa1300955,,,http://www.nejm.org/doi/full/10.1056/NEJMoa1300955,124
olive leaf extract,,1,"blood pressure, cholesterol",cardio,plant / herb,,"5,840,000",olive leaf extract blood pressure cholesterol,"One study found  beneficial effects on vascular health, although the trial was small. ",,British Journal of Nutrition,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=9860730&fileId=S0007114515001269,,,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=9860730&fileId=S0007114515001269,125
omega 3,,1,child ADHD,"mental health, children",compound,,"2,360,000",omega 3 child ADHD,Insufficient evidence to suggest omega 3 has any beneficial effect on children with ADHD.,,Cochrane,http://www.cochrane.org/CD007986/BEHAV_polyunsaturated-fatty-acids-pufa-supplements-for-attention-deficit-hyperactivity-disorder-adhd-in-children-and-adolescents,http://www.cochrane.org/CD007986/BEHAV_polyunsaturated-fatty-acids-pufa-supplements-for-attention-deficit-hyperactivity-disorder-adhd-in-children-and-adolescents,,,126
omega 3: ALA,,1,heart disease,cardio,compound,,"1,360,000",omega 3 ALA heart disease,"Insufficient evidence to claim that omega 3 has any impact on heart health, either in healthy people or those with cardiovascular disease.",,Cochrane,http://www.cochrane.org/CD003177/VASC_there-is-not-enough-evidence-to-say-that-people-should-stop-taking-rich-sources-of-omega-3-fats-but-further-high-quality-trials-are-needed-to-confirm-the-previously-suggested-protective-effect-of-omega-3-fats-for-those-at-increased-cardiovas,http://www.cochrane.org/CD003177/VASC_there-is-not-enough-evidence-to-say-that-people-should-stop-taking-rich-sources-of-omega-3-fats-but-further-high-quality-trials-are-needed-to-confirm-the-previously-suggested-protective-effect-of-omega-3-fats-for-those-at-increased-cardiovas,,,127
omega 6,,1,cancer,cancer,compound,,"64,300,000",omega 6 cancer,"One study found that omega 6 prevented tumours from growing, but this was a cell study, i.e. not tested on humans. ",,Journal of the National Cancer Institute,http://jnci.oxfordjournals.org/cgi/content/abstract/97/21/1611?maxtoshow=&hits=10&RESULTFORMAT=&fulltext=eveing+primrose+oil&searchid=1&FIRSTINDEX=0&resourcetype=HWCIT,,,http://jnci.oxfordjournals.org/cgi/content/abstract/97/21/1611?maxtoshow=&hits=10&RESULTFORMAT=&fulltext=eveing+primrose+oil&searchid=1&FIRSTINDEX=0&resourcetype=HWCIT,128
omega 6,,1,heart health,cardio,compound,,"68,400,000",omega 6 heart health,No benefit on heart health. ,,British Medical Journal,http://www.bmj.com/content/346/bmj.e8707,,,http://www.bmj.com/content/346/bmj.e8707,129
pau d’arco,,0,decongestant ,general health,plant / herb,,"35,100",pau d'arco decongestant,"HARMFUL. Highly toxic. If used at all, should be used with extreme caution. ",,Oncology Nursing Forum,https://pdfs.semanticscholar.org/582a/65c49c737111cc5416303877d4c5c0c5a093.pdf,,,https://pdfs.semanticscholar.org/582a/65c49c737111cc5416303877d4c5c0c5a093.pdf,130
peppermint oil,,5,IBS,digestion,plant / herb,,"1,080,000",peppermint oil IBS,"Relaxes muscles, which relieves IBS-related muscle spasms. Peppermint oil might be more effective than conventional anti-spasmodics and fibre treatment. ",,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003460.pub3/full?highlightAbstract=withdrawn%7Cib%7Cibs%7Cpeppermint,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003460.pub3/full?highlightAbstract=withdrawn%7Cib%7Cibs%7Cpeppermint,,,131
piracetam,,2,"memory, dementia",mental health,compound,,"475,000",piracetam memory,Evidence does not support the use of piracetam as a treatment for cognitive impairment. ,,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001011/full?highlightAbstract=withdrawn%7Cpiracetam,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001011/full?highlightAbstract=withdrawn%7Cpiracetam,,,132
potassium,,1,blood pressure,cardio,mineral,,"56,000,000",potassium blood pressure,Medication that prevents potassium loss has no significant impact on blood pressure at low doses. Trials at high doses are unavailable. ,,Cochrane,http://www.cochrane.org/CD008167/HTN_the-blood-pressure-lowering-effect-of-enac-blockers-is-not-known,http://www.cochrane.org/CD008167/HTN_the-blood-pressure-lowering-effect-of-enac-blockers-is-not-known,,,133
probiotics,,2,candida,reproductive,other,,"3,940,000",probiotics candida,Very low quality evidence. High quality trials needed. ,,Cochrane,http://www.cochrane.org/CD010496/STI_probiotics-vulvovaginal-candidiasis-non-pregnant-women,http://www.cochrane.org/CD010496/STI_probiotics-vulvovaginal-candidiasis-non-pregnant-women,,,134
probiotics,,3,"cholesterol, blood pressure",cardio,other,,"8,880,000",probiotics cholesterol blood pressure,Conflicting evidence and unclear results.,,Internal Journal of Molecular Sciences,http://www.mdpi.com/1422-0067/11/6/2499/htm,,http://www.mdpi.com/1422-0067/11/6/2499/htm,,135
probiotics,,3,IBS,digestion,other,,"6,700,000",probiotics IBS,"A particular probiotic (B. infantis 35624) improves IBS symptoms such as pain, bloating, and bowel movement difficulty. Evidence for other types of probiotic is limited. ",,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/19277023,,http://www.ncbi.nlm.nih.gov/pubmed/19277023,,136
probiotics,,1,urinary tract infections,urinary,other,,"1,190,000",probiotics urinary tract infection,No significant evidence that probiotics are any more effective than placebo in treating UTIs. Quality of evidence is poor.,,Cochrane,http://www.cochrane.org/CD008772/RENAL_probiotics-preventing-urinary-tract-infections-adults-and-children,http://www.cochrane.org/CD008772/RENAL_probiotics-preventing-urinary-tract-infections-adults-and-children,,,137
probiotics,,5,diarrhea,digestion,other,,"1,420,000",probiotics antibiotic diarrhea,Effective for preventing diarrhea associated with antibiotic use,,Cochrane,http://www.cochrane.org/CD006095/IBD_use-probiotics-prevent-clostridium-difficile-diarrhea-associated-antibiotic-use,http://www.cochrane.org/CD006095/IBD_use-probiotics-prevent-clostridium-difficile-diarrhea-associated-antibiotic-use,,,138
reishi mushroom,G. lucidum,2,cancer,cancer,plant/herb,,"601,000",reishi mushroom cancer,Possible effect on recovery from chemotherapy. But studies were small and there were some quality concerns. ,,Cochrane,http://www.cochrane.org/CD007731/GYNAECA_g-lucidum-reishi-mushroom-cancer-treatment,http://www.cochrane.org/CD007731/GYNAECA_g-lucidum-reishi-mushroom-cancer-treatment,,,139
resveratrol,,2,heart health,cardio,compound,OTW,"6,560,000",resveratrol heart health,"Resveratrol may have cardioprotective benefits, although scientists don't know quite how it works.",,Tomé-Carneiro et al 2013,http://www.ncbi.nlm.nih.gov/pubmed/23448440,,http://www.ncbi.nlm.nih.gov/pubmed/23448440,,140
resveratrol,,1,cancer,cancer,compound,,"7,130,000",resveratrol cancer,No human trials as yet.,,Cancer Letters,http://onlinelibrary.wiley.com/doi/10.1111/nyas.12205/abstract?userIsAuthenticated=false&deniedAccessCustomisedMessage=,,http://onlinelibrary.wiley.com/doi/10.1111/nyas.12205/abstract?userIsAuthenticated=false&deniedAccessCustomisedMessage=,http://www.cancerletters.info/article/S0304-3835(08)00252-8/abstract,141
resveratrol,,2,diabetes,diabetes,compound,,"6,940,000",resveratrol diabetes,Some preliminary evidence for relieving diabetes symptoms.,,British Journal of Nutrition,http://www.ncbi.nlm.nih.gov/pubmed/21385509,,,http://www.ncbi.nlm.nih.gov/pubmed/21385509,142
rhodiola rosea L.,,2,fatigue,"mental health, general health",plant / herb,,"258,000",rhodiola rosea L fatigue,"Rhodiola rosea L. is effective in treating fatigue. However, the quality of the trials conducted is questionable. ",,Complementary and Alternative Medicine,http://www.biomedcentral.com/1472-6882/12/70,,http://www.biomedcentral.com/1472-6882/12/70,,143
saffron,,2,depression,mental health,plant/herb,,"2,820,000",saffron depression,Possible anti-depressant effect. But solid evidence is lacking. ,,"Journal of Affective Disorders, Phytomedicine, Journal of Ethnopharmacology, Journal of Integrative Medicine, Human Psychopharmacology",https://www.sciencedirect.com/science/article/pii/S0165032717315884,,"https://www.sciencedirect.com/science/article/pii/S0165032717315884
http://www.sciencedirect.com/science/article/pii/S2095496414601412
http://onlinelibrary.wiley.com/doi/10.1002/hup.2434/full","http://www.sciencedirect.com/science/article/pii/S0165032716310217
https://www.sciencedirect.com/science/article/pii/S0944711317301447
http://www.sciencedirect.com/science/article/pii/S0378874104005628",144
